author,stars,comment
"n*****1",5,"User Tips:dap dap satu muka Packaging:good Beauty Effect:matte full coverage  Saya baru nak try cushion foundation skintific matte ni sesuai untuk kulit berminyak mcm saya....saya tersilap beli code so sy bagi kakak sy jelah ni mmg shade dia sbb sy putih sikit dari dia hehe.....sy ingatkan petal yg sampai 03Almond hernmmm tak tau lah mana silapnya dh beli so halal jelah ekkkk.. terima kasih seller .. penghantaran pon laju ."
"mya9096",5,"User Tips:nak dia kekal lama kne pakai loose powder and setting spray sea makeup 24 hours still x capuk Beauty Effect:full coverage Packaging:packaging ontop!  Lebih 40 kotak daa pakai rasanya sbb tiap hari mekaup kan cuma dia cepat habis kena beli spare 1 bln boleh tahan 2 kotk beli dekat watson mahallll so beli kat shopee"
"dayah.sharif",5,"Beauty Effect:matte and pigment Usage Experience:Usage feom 2023 User Tips:Apply skincare dengan baik untuk dapat hasil yang baik  Penghantaran laju, barang dalam keadaan baik sangat"
"rusnaniez",5,"Beauty Profile:umur 52 tahun kulit jenis kering User Tips:bila pakai aje muka auto  glowing dan full coverages Packaging:cantik  Item sangat best di gunakan. Skin muka kd auto  glowing dan cantik"
"f*****z",5,"Packaging:Compact, senang dibawa dlm handbag User Tips:Guna slps complete skincare routine. Jangan lupa pakai sunscreen dulu.. Usage Experience:Maybe boleh thn 3,4 bulan bgantung cara penggunaan  Brg diterima dlm keadaan baik dan dibungkus kemas. Sblm ni silap beli code 04 beige bila pakai muka jd merah sbb silap pilih tone yg gelap. Lps tu baru taw sesuai utk code 02 dan repeat order lps dh guna 6 bulan.. Matte cushion bg effect mcm pakai foundation. Sesuai utk pergi knduri atau berjalan2 make up pn tahan lama."
"m*****t",5,"Beauty Effect:matte, good coverage as a cushion Packaging:nice packaging, decent amount  Great cushion! Very easy to apply and use, it does wipe off when i pat with a tissue lightly but coverage is quite nice. I have combi skin, it kind of helps to control the oil appearance too."
"kirensonia",5,"Beauty Profile:Matte Usage Experience:blends well Packaging:Good  Use it daily. Received compliments that I look fresh and all day😁. Good coverage as well. It blends with my skin tone well too"
"sitirozilaasmawi",5,"Packaging:baik Benefits:belum cuba.tapi pasti x mengecewakan Beauty Profile:baik  Terima kasih seller.sy dapat beli masa live dan harga murah. moga maju jaya dan boleh bagi offer lagi ye.🌹🫰"
"e*****_",5,"Usage Experience:very soft Beauty Profile:warm skin tone Beauty Effect:perfect coverage  Puas hati pakai memang ngam soi dgn kulit sawa matang i terbaikkk , penghantaran pantas recommended"
"m*****w",5,"cantik weh case dia sumpahh tak menyesal beli! also the coverage is so gooodd and tak oxidised sangat so far. kalau i pakai dari pagi sampai malam pun my face still look okay je"
"v*****k",5,"Beauty Effect:Matte Benefits:Oil-control, coverage power!  love sangat this cushion. skli pakai tahan sampai 12 jam yer 😍 kalau duduk dlm tmpt aircond boleh tahan 20 jam 🤣 coverage sumpah cantik gila. and penghantaran laju gilerrr. ambik masa 2 hari jer sampai ke sarawak 👏"
"lurvejulia",5,"Coverage:I noticed the coverage is excellent and lasts all day Texture:The texture feels soft and blend easily on my face  My favorite cushion matte foundation  repeated many times  Love it"
"tshooi",5,"The texture of this foundation is soft and smooth. It has a good coverage and it meets my expectations for daily use. Like the stunning jeans design."
"s*****e",5,"Beauty Profile:dry skin Usage Experience:not try yet Beauty Effect:matte  tq barang dh sampai, fast delivery, cantik & tak pecah , ada bubble wrap yg tebal & fast delivery . first time try this brand, harap harap okay laa yee"
"zazashasha123",5,"Packaging:Good Beauty Effect:Very effective  First time I bought the refill. I like the texture of this powder and the colour is just perfect for my skin. Long lasting and suitable to wear all day long...!"
"lauraeusukhieng",5,"Usage Experience:Very satisfied! Skin looks beautiful with this matte cushion User Tips:Choose suitable shade for your own skin. Packaging:Good  Fell in love since first use! Always bought this at Watsons. Seen cheaper price on live on Shopee, didnt hesitate to place order! Must try! Recommended seller!"
"nurraihanyusra",5,"Usage Experience:texture light and tak heavy User Tips:dap sekali biar kering then apply semula utk final touch Benefits:waterproof  I beli sebab review drpd adik sendiri kata terbaik. Look makeup yg diguna sangat long lasting. Code almond sesuai utk skin saya yang tent."
"a*****y",5,"Texture:smooth Coverage:Good  Have always trusted Skintific products. Love the coverage. Lasting. Recommended brand, seller & good courier service 👍"
"e*****a",5,"Packaging:very good Usage Experience:sesuai pakai untuk full face make up Beauty Profile:warm natural medium tone  Suitable for oily skin. Sebelum ni ambil code almond. Sbb takut nmpk kelabu. Mula2 pakai nmpk ok dgn skin tone. Tp lama2 dia akan nmpk kusam. Tp bila analyze balik skin tone sy sesuai petal ni. So yeahh kita tukar code petal. ☺️"
"i*****n",5,"Beauty Effect:Matte, Light weight, Natural whitening effect, Good coverage Packaging:Modern, Portable, Light Beauty Profile:19, Yellow skin, Naturak skin tone, Combination skin, Acne Scars  GOOOD PRODUCTT SUPER DAMNN FASTTT DELIVERYY GOOD FOR MAKEUO NEWBIESS EASY TO USE GOOD MAKEUP EFFECT"
"lindanuar90",5,"User Tips:Pkai lpas perap wajah Beauty Effect:Coverage yg bgus Usage Experience:Ease to apply  Best Sgt guna cushion skintific ni ❤️  Penghtran pntas Hrga murah mmg mnutup segala parut👍 mekap jdi shining"
"q*****7",5,"Usage Experience:senang nak apply Benefits:oil control effect Beauty Profile:sawa matang  Texture Yang sangat ringan, Warna tidak terlalu cerah Dan tak gelap sangat.Beli Yang mudah sikit hbis tukar ja..terima Kasih dah jadi penguin setia skintific"
"najwa_comel",5,"Packaging:good  tenkiu barang sampai dalam keadaan yg selamat 🫶🏻 sy akan beli lagi untuk refill punya ❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️"
"qissya16",5,"Benefits:lasting product😘 Beauty Effect:matte for my oily skin , tahan lama sangat Beauty Profile:01 vanilla is mu shade , will repeat soon❤️"
"o*****g",5,"Benefits:lasting for whole day without touch up again Packaging:packaging is so jeans and nice, love it!!! Beauty Effect:good coverage, matte finished  Easy to carry, apply one time can last for whole day, intro fren to buy also!!"
"aniesaid80",5,"dah banyak kali beli spt biasa penghantaran laju, harga berpatutan, pembungkusan kemas, TQ seller"
"n*****0",5,"User Tips:spray setting spray dulu baru cushion fd Benefits:water proof, oil control Beauty Effect:matte  Sponge design tear drop easy application around nose and eye, perfect shade for me, bau x kuat sgt"
"jccp1587",5,"Beauty Profile:i have oily skin Packaging:cute User Tips:pair it with the skintific sunscreen  OMG this is the cutest cushion ever 😍 So small, compact, and it even comes with a keychain so I can bring it anywhere! I bought it during promotion and it’s totally worth it. This is honestly the best matte cushion I’ve tried, the coverage is so good I don’t even need concealer. It doesn’t cake, and my makeup stays on the whole day.  I have oily skin, and although I still get slightly oily (because that’s my skin type), it doesn’t get overly greasy. My friends even keep asking why my face looks so smooth and glowy ✨ Paired with a matte sunscreen, it’s the perfect combo!"
"n*****e",5,"Packaging:Exclusive packging Benefits:Long lasting Beauty Effect:Matte  Beli untuk kedua kalinya. 1st dlu beli yg casing biasa, this time beli yg denim. Wow. Sgat cantik. Serious cantik. Buat stocks senang kalau hbis. Terbaik. Loveeeeeeeeeeee❤️"
"r*****9",5,"Beauty Profile:good User Tips:good Packaging:good  Recieve in a good condition.. so super cute saiz.. and easy to bring for travel.."
"m*****1",5,"Benefits:waterproofed User Tips:use it with the sponge provided Beauty Profile:good concealer and nice one  Service is super good and fast. Placed order and get the items within 3 days. Tq seller."
"fikahnasir18",5,"Benefits:good Beauty Profile:kuning ii langsat, User Tips:i tak try lagi  Sumpah Cantik gilee But i tak try pkai lagi betul tak full cover i hope cantik kejadian dia Barang dalam keadaan baik  Penghantarn laju juga"
"z*****n",5,"Packaging:excellent Usage Experience:nice texture, easy to blend User Tips:apply nicely, rata2 kat muka and it will looks smooth ajer  Nice product. Casing jeans Limited edition. Tq seller"
"leyyamyra",5,"barang dah sampai penghantaran cepat kecik je ingatkan besar sesuai la dengan harga terima kasih seller"
"amirahnajwa411",5,"Beauty Profile:Code kena dengan kulit saya. Packaging:Design packaging sangat cantik. User Tips:Tak tahu nak cakap tips, just dap dap dap je la dekat muka bagi rata.  Barang/ Parcel diterima dalam keadaan baik dan betul seperti yang di order😊."
"w*****8",5,"Beauty Effect:matte Benefits:good waterproof  🔥非常推荐这个卖家哦🔥 🥑真心觉得很不错的一个卖家 🥑服务好价钱公道 🥑发货快🚚 🥑包装包得很好 ✨总体评价是5⭐✨  🔥This seller is highly recommended🔥 🥑Really feel very good a seller 🥑Good service 🥑Reasonable in prices 🥑Fast delivery🚚 🥑The packing is very good ✨The overall evaluation is 5⭐✨"
"nlsss",5,"Beauty Profile:Perfect for my skin tone  Product is good. Seems to be waterproof and fade proof. Feels comfortable and not too heavy on the skin."
"a*****q",5,"Packaging:Good Beauty Effect:Matte  I absolutely love how my skin looks after the finish—it's flawless and truly radiant."
"cty_anuar",5,"Benefits:tak oxidise sgt dan matte effect Beauty Effect:matte effect  Setakat ni, yang paling best yang ini laa pakai. Tapi yg gold pun best. Cuma cepat oxidise. Pink x cuba lagi."
"_*****h",5,"Fast delivery and decent packaging. Medium coverage, oxidise slightly throughout the day. Although it’s matte, but it’s not super matte. My oily skin does become oily after a couple of hours."
"jessica.t811",5,"Beauty Effect:Matte and light weight Beauty Profile:Age 40, Ivory Skin Tone, Combination Skin Type. Usage Experience:Tested in hand, haven't use on face. The Ivory skin tone suites me just nice and blend-in with my skin tone."
"tkhhklh",5,"Packaging:in good condition  Benefits:I didn't use yet, I may edit next time  User Tips:prep Ur skin first...basic knowledge to use any foundation   In good condition, Ada bubble warp, and packaging dia is Soo cute"
"n*****i",5,"Fast delivery! Repeat untuk kod Ivory. Cushion yang best ringan.Recommended"
"inzulaikha",5,"Love buying through Live because got more sale! Have used Skintific for two years or so and my skin is so smooth. I really love the brand. Also, i think the toner pad is a free gift so thank you!!!"
"a*****2",5,"Packaging:baik Beauty Effect:matte n pigmented User Tips:spray sponge dulu dgn setting spray sblm aply fndtion kt muka  Tqsm seller laju je buat kerja..service terbaik!!"
"edamohdhashim",5,"Packaging:Buble wrap Benefits:Cover Jeragat Beauty Effect:Easy to use  Senang bawa travel. Ringan. Sesuai warna Kulit. Recommend harga patut Dan Selamat Sampai. Tq Seller n Courier men"
"k*****o",5,"User Tips:pakai nipis pun coverGe mantap Packaging:nice Usage Experience:pakai from 8am-8pm still on point, crack sikit je tapi still cantikkkkkkkk  rasa ringan je macam x pakai pape, best mudah dapat plak harga wow"
"ne_e4bt6ob",5,"Perfect Stay Velvet Matte Cushion Foundation. I’ve Ive tried it on my face, and the texture blends well with my skin. The ivory shade suits my skin perfectly. I really like this matte cushion foundation. Fast delivery from the seller and courier, and the item arrived in good condition. I’ll definitely repurchase this great cushion foundation"
"e*****o",5,"Coverage:Full coverage. Texture:Blends easily on my face.  I am so in love w this matte foundation. So easy to put on. A must have this little cute one."
"mariampahalawan79",5,"Beauty Profile:compact cution Benefits:waterfroop Beauty Effect:matte  penghantaran cepat, penerangan saller sesuai, kualiti longlasting dan matte, dan harga murah beli masa live... tq"
"n*****i",5,"Beauty Effect:finishing matte, tak pakai powder pun superb User Tips:prep skin betul, if dry skin try gold Benefits:long lasting, high coverage, a bit drying if wear too much/not prepping skin properly  worth my penny untuk beli 2 sekaligus… 8 jam pakai still ok! performance bagus boleh try ya siapa oily skin"
"anamaqwan",5,"Beauty Effect:full coverage Packaging:10/10 terjamin selamat dan hygiene Benefits:matte tp still oily, nampak glowing gitew  Nak try sbb terlalu ramai ckp helok n komen yg +ve ... Kite try refill dulu ... Tq seller n courier 🫰🏻"
"miayyad_",5,"Delivery sgt pantas, and murah dari tiktok hahaha. untuk refill ni masuk yg kedua. Suke gile yg matte ni sgt terbaik kejadian dy. Dari pagi sampai ke malam still on top. Ta pecah even nagis pom hahaha."
"saimi68",5,"User Tips:muka jadi cantik Benefits:tutup pori muka Usage Experience:mudah pakai  Penghantaran laju. Harga sangat murah beli 2 dpt 20 je satu. Mukaa jadi smooth je pakai ni"
"lindanuar90",5,"Texture:Smooth and blend easily Coverage:Full coverage  Tq seller sy dh terima brang  packaging tebal Mmg best pkai cushion skintific  Tahan lama"
"loly.clothing.shp",5,"Packaging:good Beauty Profile:ok Benefits:Benefits: Waterproof/Fade-Proof Capacity, Lasting Power, Oil-control effect  Baru lepas order cushion ni 3 , sbb dapat harga murah. Tiba2 keluar cushion pink pulak terpaksa beli pink pula. Terima kasih seller"
"y*****9",5,"Usage Experience:easy to apply Beauty Effect:very smooth, love it  1/10 Placed order during live  2/10 Shipped out by seller  6/10 Received order  Best buy during live, more discount"
"t*****a",5,"Packaging:Not bulky  Long lasting and very smooth on the skin, tak bercapuk langsung. This is my second purchase and I’m really happy because I finally found a shade that truly matches me.  Both me and my sister use it — she has fairer skin than me, but the shade still suits both of us. Really nice for Asian skin tone with yellowish undertone, and most importantly it leher and muka warna sama. Will definitely repurchase again 💛"
"s*****i",5,"Cepatnya barang smpai ,semalam order,harini dah smpai depan pintu . Saya suke . Lawa bekas die . Tq seller shoppe dan kurier. Btw , belum cube lg ."
"lindadoublel",5,"Second time buy with Skintific foundation Very like and love this product 😍😍 Thanks seller delivery toooooo fast because I urgent to use love u so much 😘😘😘"
"q*****2",5,"The Perfect Stay Velvet Matte Cushion smells so nice and feels smooth on my skin. I chose shade 00N..it fits me perfectly! Great quality for such a good price."
"s*****9",5,"Hari ni order esok terus sampai. Delivery memang laju. Cushion refill sampai dgn elok boleh tgk video unboxing. Beli time shopee sale 10/10 so dapat harga murah. Masa mula2 dulu salah beli shade so i beli refill baru. Color ni memang sesuai dgn kulit kite. Cushion ni tahan lama jugak dekat muka dari pagi sampai petang. Oklah. Boleh order lagi lain kali. terima kasih."
"n*****y",5,"Benefits:Lasting Usage Experience:Easy to apply Packaging:Great  Item received in good condition.. Ordered on 31/08 & delivered on 04/09.. I’ve ordered many times & will definitely order again.. Thank you to the seller & runner.. Keep up the great work!"
"anissyafiqahalias",5,"Packaging:excellent Beauty Profile:03A almond Usage Experience:excellent  Diterima dlm keadaan yg baik, mmg da repeat byk kali matte cushion ni. Mmg in love sgt2z dpt hrga murah masa payday sale. Thank you seller"
"f*****0",5,"Beauty Profile:37, oily skin, warm tone Packaging:very neat packaging easy to carry with. 11g Usage Experience:color suits my warm skin 100%! love the coverage. remember less is more. will repeat. thank you!"
"a*****_",5,"User Tips:good Beauty Effect:good Beauty Profile:skin like  I love the finishing but back then I used the gold one so I just changed it there"
"dnursakinah",5,"Packaging:elok terbqik cantik je Beauty Effect:suka pakai kali 4 fh repett so sgt sesuai utk org mcm skin sya ya Benefits:ok tahan lama tahan alsak sesuai pakai siang hari paans  Sgt suggested utk org beli.pakai cantik terbaik"
"mimisanwar",5,"Usage Experience:long-lasting Beauty Effect:matte finishing Packaging:good  My favourite cushion foundation. Tak tau berapa banyak refill dah beli. Love the effect on my skin. Makeup lasts long. Easy to use, tak bercapuk."
"saracomcom",5,"Beauty Effect:Full coverage Packaging:Good Benefits:Smooth on skin  Repeat order kali 2x Penghataran cepat👍👍 Tq saller"
"f*****e",5,"Quick delivery and excellent service! This cushion foundation perfect for oily skin. Lightweight yet provides great coverage. It controls shine effectively and lasts all day without needing touch up. The formula feels smooth and breathable. A reliable, long lasting product that keeps skin looking fresh. Will definitely repurchase. Highly recommended!"
"dierashaharudin",5,"Usage Experience:easy to use User Tips:just tap on your face Packaging:nice design  Received my item in good condition. Well packed by seller and fast delivery by courier. Recommended 😊👍"
"Unknown",5,"Benefits:matte (oil control) User Tips:prep muka dgn moisturiser Packaging:selamat  Tips.. Basahkan muka dgn ais @ air sejuk, biarkan kering dan pakai mosturiser.. Terus sapu fd, pori mengecil dan wajah nampak fresh..  Kulit cerah natural, sy suka shade warm vanilla yg baru ni, wajah nampak cerah.. Sebelum ni pakai natural ivory nmpk pinkish2..  Yg kulit berminyak sesuai matte fd biru ni..  Seller terbaik & penghantaran pantas"
"n*****a",5,"Beauty Effect:Sangat matte, coverage Packaging:Good.. User Tips:Make sure prep skin properly..  Byk2 cushion foundation.. Form skintific ni la paling best.. Grab  time sale jimat guys.. Denim packaging ni letopss sgt.. Love terukk"
"lysrin83",5,"Benefits:best Usage Experience:barulah sama dgn tona kulit User Tips:memang best waterproof, dh lama sgt nk beli yg biru ni, sblm ni pakai yg pink. sgt² puas hati"
"pink_beautyshop",5,"Usage Experience:Ease of blending Beauty Effect:coverage Benefits:Waterproof  Beli kat shopee dpt hrga murah, banyak baucer. Tq seller. Saya dah beli cushion denim skintific limited edition ni, kotak pun exclusive sangat. Terpaling cantik. Korang patut beli buat koleksi cushion denim ni lawa sangat, boleh tukar refill kalau dah habis."
"a*****a",5,"Usage Experience:senang nk blend, yg xpandai make up pun jd nampak pandai Beauty Effect:matte & thn lama utk kulit yg bminyak Packaging:packaging dia bagus, mjaga kebersihan  Sy pakai ni 1 bulan 1 refill pack. Pakai hari² setiap kali keluar. Moga harga kekal mcm ni tak naik 🤲  Nk psg dia sng je."
"s*****6",5,"Usage Experience:good Beauty Profile:combination skin User Tips:apply moisturiser  I think I need to buy 1 shade lighter. Thank you seller for the great quality, price.  Packaging is superb. 👍🏻👏"
"s*****6",5,"Laju sampai, murah gila weh beli 2 brg dpt diskaun kaw2...beli la korang!! Seblm ni pakai g2g cpt sgt habis, skrg nk try skintific plak, bekas lawa giler Tq seller, recommended"
"suhaimi_abdulhamid",5,"Beauty Effect:ok Beauty Profile:good Packaging:nice  SKINTIFIC  di terima dgn selamat, selepas guna muka berseri bak bidadari..kengkwan pun kenal🤭🤭 Tq seller n kurier...fast deliver👍👍👍"
"s*****_",5,"Packaging:Nice Beauty Effect:Natural  Suitable for me code Vanila..well absorb and nice"
"d*****n",5,"okay , shade kena dengan kulit . tak hitam , tak putih snagat . thankyou . dapat harga murah"
"ila471018",5,"User Tips:apply softly Beauty Profile:41, oily skin, apply gently..smooth Beauty Effect:natural  Received parcel in good condition. Good product quality. Reasonable price. High quality product. Thank you seller. Will repeat to buy if necessary."
"smyra_idora",5,"Usage Experience:Good User Tips:Good Benefits:Good  Packaging nampak mahal. Harga dapat murah beli masa live. Belum cuba lagi atas muka. Tapi guna sikit lebihan pada penutup. Waterproof dan poreless pada tangan"
"m*****a",5,"Selamat sampai..boleh la beli masa harga murah..nak coin je ni"
"annaslwana04",5,"Texture:blend easily with my skin Coverage:coverage medium-high  i LOVE this cushion so much. suitable for my combination skin and the makeup its really flawless. no wonder why people bought this so much cause its really good. i just hoping for shade 00C they have the refill"
"a*****l",5,"Beauty Profile:oily skin User Tips:coverage mantop Packaging:easy to carry everywhere  i da repeat 3 kali rasenya.Asal la lmbt jumpe. Love it do. Coverage mantop pastu kulit da la oily pun sesuai bile pkai lama tk la berminyak sngat mcm produk lain"
"0pj08bfgi4",5,"Benefits:waterproof but my face stillnoily Packaging:very nice Beauty Effect:look nice  I bought vanilla plak sblm ni ivory mcm gelap la so i tkt yg vanilla plak"
"ezan1504",5,"Usage Experience:Good User Tips:Apply macam biasa Beauty Profile:Finally beli code yang sesuai dengan my skin. Memang elok ya. Price beli time live memang berbaloi baloi. Memang cantik  bekas dia. Memang highly recomended sangat seller ni.Terbaikla"
"m*****i",5,"User Tips:sy gunakan dgn bedak powder matte..peloles jd Usage Experience:serasi dgn kulit ..suka pakai sbb muka jd x brminyak sgt & tahan smpai blk keje.. Packaging:bungkusan  kemas dan dihantar cepat.  Please la cuba ..byk produk sy try tp yg ni jadikk"
"o*****p",5,"Usage Experience:very nice Beauty Effect:good , matte Beauty Profile:sensitive and oily skin  Very nice, 2 times used already and matte to my skin.  The color also suit my skin tone very well Only took 2 days to arrive"
"anne8288",5,"Benefits:waterproof Usage Experience:tahan lama Beauty Effect:matte.  First time beli. Best. Boleh repeat. Terima kasih. Tahan badai dan yang penting cantik sangat bekas tu."
"n*****8",5,"I got the hype why people buy this cushion. It's reallllyyy good. My make up tak crack lngsung pkai this one. The finishing sgt superb"
"din86pekan",5,"Beauty Profile:ok lh Usage Experience:baru pertama kali nk cuba harap sesuai lh Beauty Effect:permula nmpk ok x keringkan kulit muka.warna pn kena dgn kulit  Barang sampai dgn selamat. Harap ok lh dgn kulit. Baru pertama kali cuba ni"
"imac_yiong",5,"Beauty Profile:very suitable for all ages Packaging:very nice pakaging User Tips:can be use regulary  Fast shipping and value for money. Good packaging and no issue at all."
"k*****u",5,"Texture:good Coverage:good  Received good conditions. Fast delivery. Cant wait to try it."
"s*****a",5,"Packaging:good Benefits:waterproof User Tips:Sesuai untuk muka. full coverage  Ni dah beli banyak kali. dapat harga murah. terus grab 2.. mudah meresap ke kulit muka..waterproof. full coverage. nampak glowing..  Good job seller. will buy again and again"
"a*****9",5,"Benefits:Matte coverage User Tips:Little goes along the way Usage Experience:Please dab dab dab or else you will end up with cakey texture  Easy to use, majestic finishing, affordable price, quality product and hold up form am to pm. Been using it almost a year on daily basis. This is might be my 6th refill. Stock it whenever on sale. Got this for rm20+ if not mistaken. Recommended"
"c*****8",5,"Benefits:okay sangat di kulit kawan2 ku .. shade pun sesuai sama dorang .. ambil masa hampir seminggu jga la sampai sini sabah .. hehe Packaging:packaging ok"
"r*****6",5,"Usage Experience:easy to apply User Tips:tap tap saja siap Packaging:Good  Terima kasih.. delivery laju, packaging sangat bagus. Memang dah lama guna ni. Best sangat mudah."
"a*****d",5,"Beauty Effect:semi matte finish Benefits:long lasting User Tips:use the radiant booster serum first!you'll get the best semi matte finishing  Parcel arrived safely without any damage or defect on item.good product quality!!! I really love the finishingg tak bercapuk at all especially you use it with radiant booster serum(the yellow one ) before apply the cushion  then spray again thwn wallaaaaaa soo damn good😩❤️"
"y*****i",5,"Texture:good Coverage:good  Penghantaran pantas. Barang pun okay takda defect. Cantik pun ya. Thanks seller"
"n*****r",5,"Usage Experience:Good User Tips:Good Packaging:Good  Alhamdulillah pesanan sudah sy terima, sja beli yg gelap, utk tutop jeragat, sy kulit cerah, tpi lebih yakin guna warna gelap.. Mcm normal skin, sy beli dgn harga tersebut tq 🌹🌹🌹🌹🌹k bye"
"f*****1",5,"Beauty Effect:Matte,long lasting,boleh menutupi cela dengan baik Packaging:secure packaging even refill Benefits:long lasting n mengawal minyak dengan baik  Penghantaran laju"
"s*****5",5,"Packaging:okay Beauty Effect:fully coverage Beauty Profile:sesuai  I dah buka and kemik kan kotak baru teringat nak rate kat shopee. I selalu beli refill ni dah cuma ni kali nak try shade ivory. Sebelum ni guna vanilla. Pastu rasa mcm putih sangat muka. Harap yg ni sesuai lah dgn muka i. Barang sampai cepat and dalam keadaan baik."
"z*****n",5,"Received in excellent condition 👍🏻 Bought this on a buy 2 free 1 promotion but only received 2 but seller replaced it with free cleanser instead. Glad that the cleanser is the one that I wanted to try 👍🏻 The mini cushion is very cute and it's detachable! Hopefully they release the refill one day 😊 Thank you seller for your service ⭐"
"junjie_0921",5,"Good product good quality thanks seller for good price value for money"
"l*****a",5,"Texture:matte Coverage:10hours  Sebelum ni beli yg pink cantik la packaging skintific…biru cantik pink sangat wo …so in loveeeeeee😍😍😍"
"n*****2",5,"Usage Experience:texture yang tak berat mcm foundation. Beauty Profile:oily & acne Benefits:boleh tahan selama 8 jam"
"norianitaismail",5,"Trusted seller. Penghantaran cepat. Barang di terima dalam keadaan cantik n kemas."
"f*****6",5,"Excellent product! High quality, exactly as described. Fast shipping and secure packaging. Seller is very responsive and helpful. Great value for money—highly recommended! Will definitely buy again!"
"k*****k",5,"Packaging:excellent Usage Experience:smooth texture and easy blending with great coverage and long lasting wear  I was pleasantly surprised to receive this product as I thought i was going to receive the normal shiny blue packaging - instead i received the new denim packaging. Quite unique, denim texture and soft & bouncy to the touch. Will be a nice addition to the collection. Would recommend this product and try your luck to see if you'll receive this new special packaging too (selected and sent at random)"
"s*****r",5,"Benefits:lasting Beauty Effect:matte finish Packaging:design kemas dan cantik  Best foundation everrrr..."
"hanna0126",5,"item dah sampai pnghntran sngt pantas 3je smpai beli time 11/11 dpt harga murah"
"huda_fauzi123",5,"Seller pantas dan cepat Sampai. Memang puas hati. Saya memang suka produk Ni smooth sangat di muka."
"i*****y",5,"Beauty Effect:full coverage Beauty Profile:sesuai utk kulit berminyak Packaging:baik  Barang sampai dlm keadaan baik,best sgt guna cushion ni."
"genieveeeee",5,"Packaging:good packing and jeans design is cool Benefits:waterproof and comfortable when apple to skin  still look brighter and not oily when apply to face over 8 hours🥰❤️ i use colour 00~"
"f*****n",5,"Beauty Effect:matte and full coverage Beauty Profile:combination skin User Tips:prep skin well and then apply this cushion  Overall i'm really satisfied. Reasonable price with superb finishing"
"r*****n",5,"Safely received..secured packaging..fast delivery...thank you seller!"
"awinmashimaro12",5,"Beauty Effect:terbaik Beauty Profile:cantik Usage Experience:belum Cuba lg  Kualiti makeup perfect ni memang terbaik Dan harga pun berpatutan Dan berbaloi untuk beli. Trime ksh seller"
